"#P1" 
"How do you model the following situation with a UML class diagram: A season worker may be employed in one or several \n seasons the beginning and the end of each employment period is saved","ternary relationship"
"What is a synonym for strong aggregation?","composition"
"In Java primitive data types ...","cannot have operations"
"Association classes are used to ...","Encapsulate association specific attributes and operations"
"An aggregation is a special ...","association"
"Which of the following statements about compositions (composite aggregations) are true?","When the composite element is deleted, the parts also die"
"Which of the following differences between class diagrams and object diagrams are true?","Class diagrams model the structure of a system, object diagrams model the dynamic view.;Class diagrams describe a system on type level, object diagrams on instance level.;Class diagrams describe the structure of a system. object diagrams describe the shape of a system at a certain point in time."
"Which of the following is a technique for hiding the internal implementation details of an object?","Encapsulation"
"How do you model the following situation: A doctor treats multiple patients a patient can be treated by  multiple doctors. Info of which doctor has treated which patient (can be multiple times) the date and diagnosis are stored.","Doctor---Treatment---Patient (treatment info stored in Treatment)"
"A class diagram shows ... view of a system.","static"
